{'doc_id': 'APW_ENG_20011204.0152', 'sentence_id': 1, 'h': {'id': 'Q284359', 'pos': [2, 4]}, 't': {'id': 'Q10315', 'pos': [8, 10]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20011204.0329', 'sentence_id': 1, 'h': {'id': 'Q284359', 'pos': [14, 16]}, 't': {'id': 'Q10315', 'pos': [0, 2]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20011204.0477', 'sentence_id': 1, 'h': {'id': 'Q284359', 'pos': [14, 16]}, 't': {'id': 'Q10315', 'pos': [0, 2]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20011204.0769', 'sentence_id': 1, 'h': {'id': 'Q284359', 'pos': [2, 4]}, 't': {'id': 'Q10315', 'pos': [13, 15]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20011206.0154', 'sentence_id': 1, 'h': {'id': 'Q284359', 'pos': [16, 18]}, 't': {'id': 'Q10315', 'pos': [0, 2]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20011220.0119', 'sentence_id': 1, 'h': {'id': 'Q214233', 'pos': [9, 11]}, 't': {'id': 'Q128446', 'pos': [12, 14]}, 'relation': 'P54@start'}
{'doc_id': 'AFP_ENG_20021220.0185', 'sentence_id': 1, 'h': {'id': 'Q704880', 'pos': [5, 7]}, 't': {'id': 'Q101859', 'pos': [14, 16]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19951211.0644', 'sentence_id': 1, 'h': {'id': 'Q672558', 'pos': [2, 4]}, 't': {'id': 'Q38245', 'pos': [11, 13]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19981221.0401', 'sentence_id': 18, 'h': {'id': 'Q57114', 'pos': [9, 11]}, 't': {'id': 'Q41420', 'pos': [0, 9]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19971202.1528', 'sentence_id': 1, 'h': {'id': 'Q125796', 'pos': [2, 4]}, 't': {'id': 'Q7156', 'pos': [10, 12]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19971208.0794', 'sentence_id': 1, 'h': {'id': 'Q563242', 'pos': [19, 21]}, 't': {'id': 'Q41420', 'pos': [11, 13]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19971218.1098', 'sentence_id': 5, 'h': {'id': 'Q313710', 'pos': [4, 6]}, 't': {'id': 'Q421009', 'pos': [13, 16]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19971218.1102', 'sentence_id': 5, 'h': {'id': 'Q313710', 'pos': [4, 6]}, 't': {'id': 'Q421009', 'pos': [13, 16]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20001205.0815', 'sentence_id': 3, 'h': {'id': 'Q166207', 'pos': [22, 24]}, 't': {'id': 'Q419974', 'pos': [19, 21]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20001205.0859', 'sentence_id': 4, 'h': {'id': 'Q166207', 'pos': [22, 24]}, 't': {'id': 'Q419974', 'pos': [19, 21]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20021209.0311', 'sentence_id': 1, 'h': {'id': 'Q331975', 'pos': [2, 4]}, 't': {'id': 'Q51974', 'pos': [8, 10]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20021211.0326', 'sentence_id': 1, 'h': {'id': 'Q331975', 'pos': [2, 4]}, 't': {'id': 'Q51974', 'pos': [10, 12]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20021211.0339', 'sentence_id': 1, 'h': {'id': 'Q331975', 'pos': [2, 4]}, 't': {'id': 'Q51974', 'pos': [10, 12]}, 'relation': 'P54@start'}
{'doc_id': 'AFP_ENG_20031202.0004', 'sentence_id': 1, 'h': {'id': 'Q310369', 'pos': [0, 2]}, 't': {'id': 'Q238593', 'pos': [5, 7]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20031207.0225', 'sentence_id': 6, 'h': {'id': 'Q360296', 'pos': [18, 20]}, 't': {'id': 'Q134241', 'pos': [4, 5]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20031207.0231', 'sentence_id': 6, 'h': {'id': 'Q360296', 'pos': [18, 20]}, 't': {'id': 'Q134241', 'pos': [4, 5]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_20031215.0653', 'sentence_id': 8, 'h': {'id': 'Q122346', 'pos': [16, 18]}, 't': {'id': 'Q189671', 'pos': [14, 16]}, 'relation': 'P54@start'}
