{'doc_id': 'APW_ENG_20011217.1070', 'sentence_id': 1, 'h': {'id': 'Q315826', 'pos': [4, 6]}, 't': {'id': 'Q676094', 'pos': [7, 9]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20011217.1321', 'sentence_id': 45, 'h': {'id': 'Q315826', 'pos': [8, 10]}, 't': {'id': 'Q676094', 'pos': [11, 13]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19981206.0036', 'sentence_id': 20, 'h': {'id': 'Q185122', 'pos': [37, 39]}, 't': {'id': 'Q201608', 'pos': [34, 36]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19981211.0461', 'sentence_id': 26, 'h': {'id': 'Q185122', 'pos': [12, 14]}, 't': {'id': 'Q201608', 'pos': [9, 11]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990308.0080', 'sentence_id': 162, 'h': {'id': 'Q201608', 'pos': [1, 3]}, 't': {'id': 'Q185122', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990308.0081', 'sentence_id': 162, 'h': {'id': 'Q201608', 'pos': [1, 3]}, 't': {'id': 'Q185122', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990308.0496', 'sentence_id': 24, 'h': {'id': 'Q201608', 'pos': [22, 24]}, 't': {'id': 'Q185122', 'pos': [25, 27]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990312.0131', 'sentence_id': 16, 'h': {'id': 'Q201608', 'pos': [2, 4]}, 't': {'id': 'Q185122', 'pos': [7, 9]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990314.0182', 'sentence_id': 21, 'h': {'id': 'Q201608', 'pos': [0, 2]}, 't': {'id': 'Q185122', 'pos': [3, 5]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990320.0183', 'sentence_id': 27, 'h': {'id': 'Q201608', 'pos': [20, 22]}, 't': {'id': 'Q185122', 'pos': [28, 30]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990320.0209', 'sentence_id': 28, 'h': {'id': 'Q201608', 'pos': [14, 16]}, 't': {'id': 'Q185122', 'pos': [9, 11]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990321.0158', 'sentence_id': 28, 'h': {'id': 'Q189400', 'pos': [14, 16]}, 't': {'id': 'Q7407', 'pos': [10, 12]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20011203.0246', 'sentence_id': 59, 'h': {'id': 'Q991765', 'pos': [6, 8]}, 't': {'id': 'Q40064', 'pos': [12, 14]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20011203.0246', 'sentence_id': 59, 'h': {'id': 'Q40064', 'pos': [12, 14]}, 't': {'id': 'Q991765', 'pos': [6, 8]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20011210.0224', 'sentence_id': 59, 'h': {'id': 'Q991765', 'pos': [5, 7]}, 't': {'id': 'Q40064', 'pos': [11, 13]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20011210.0224', 'sentence_id': 59, 'h': {'id': 'Q40064', 'pos': [11, 13]}, 't': {'id': 'Q991765', 'pos': [5, 7]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941210.0431', 'sentence_id': 7, 'h': {'id': 'Q48410', 'pos': [13, 15]}, 't': {'id': 'Q199801', 'pos': [17, 19]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941210.0431', 'sentence_id': 7, 'h': {'id': 'Q199801', 'pos': [17, 19]}, 't': {'id': 'Q48410', 'pos': [13, 15]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941210.0436', 'sentence_id': 1, 'h': {'id': 'Q168724', 'pos': [0, 2]}, 't': {'id': 'Q55294', 'pos': [33, 35]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941210.0436', 'sentence_id': 1, 'h': {'id': 'Q55294', 'pos': [33, 35]}, 't': {'id': 'Q168724', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19981215.1368', 'sentence_id': 31, 'h': {'id': 'Q208214', 'pos': [7, 9]}, 't': {'id': 'Q42574', 'pos': [10, 12]}, 'relation': 'P26@end'}
{'doc_id': 'AFP_ENG_20011217.0587', 'sentence_id': 1, 'h': {'id': 'Q315826', 'pos': [3, 5]}, 't': {'id': 'Q676094', 'pos': [14, 16]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990513.0351', 'sentence_id': 9, 'h': {'id': 'Q170576', 'pos': [16, 18]}, 't': {'id': 'Q484779', 'pos': [21, 23]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990513.0362', 'sentence_id': 9, 'h': {'id': 'Q170576', 'pos': [16, 18]}, 't': {'id': 'Q484779', 'pos': [21, 23]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19961204.0461', 'sentence_id': 29, 'h': {'id': 'Q1350541', 'pos': [14, 16]}, 't': {'id': 'Q1816361', 'pos': [19, 21]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19961204.0461', 'sentence_id': 29, 'h': {'id': 'Q1816361', 'pos': [19, 21]}, 't': {'id': 'Q1350541', 'pos': [14, 16]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19941220.0231', 'sentence_id': 17, 'h': {'id': 'Q48410', 'pos': [1, 3]}, 't': {'id': 'Q199801', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19941220.0231', 'sentence_id': 17, 'h': {'id': 'Q199801', 'pos': [4, 6]}, 't': {'id': 'Q48410', 'pos': [1, 3]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20021204.0273', 'sentence_id': 5, 'h': {'id': 'Q193628', 'pos': [7, 9]}, 't': {'id': 'Q259913', 'pos': [23, 25]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20021204.0273', 'sentence_id': 5, 'h': {'id': 'Q259913', 'pos': [23, 25]}, 't': {'id': 'Q193628', 'pos': [7, 9]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20001211.0125', 'sentence_id': 1, 'h': {'id': 'Q167498', 'pos': [21, 23]}, 't': {'id': 'Q200768', 'pos': [31, 33]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20001211.0125', 'sentence_id': 1, 'h': {'id': 'Q200768', 'pos': [31, 33]}, 't': {'id': 'Q167498', 'pos': [21, 23]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20001211.0129', 'sentence_id': 1, 'h': {'id': 'Q167498', 'pos': [21, 23]}, 't': {'id': 'Q200768', 'pos': [31, 33]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20001211.0129', 'sentence_id': 1, 'h': {'id': 'Q200768', 'pos': [31, 33]}, 't': {'id': 'Q167498', 'pos': [21, 23]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0449', 'sentence_id': 1, 'h': {'id': 'Q68743', 'pos': [0, 2]}, 't': {'id': 'Q2518', 'pos': [8, 10]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0449', 'sentence_id': 1, 'h': {'id': 'Q2518', 'pos': [8, 10]}, 't': {'id': 'Q68743', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0454', 'sentence_id': 1, 'h': {'id': 'Q68743', 'pos': [0, 2]}, 't': {'id': 'Q2518', 'pos': [8, 10]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0454', 'sentence_id': 1, 'h': {'id': 'Q2518', 'pos': [8, 10]}, 't': {'id': 'Q68743', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0486', 'sentence_id': 1, 'h': {'id': 'Q68743', 'pos': [0, 2]}, 't': {'id': 'Q2518', 'pos': [8, 10]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0486', 'sentence_id': 1, 'h': {'id': 'Q2518', 'pos': [8, 10]}, 't': {'id': 'Q68743', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0555', 'sentence_id': 1, 'h': {'id': 'Q68743', 'pos': [0, 2]}, 't': {'id': 'Q2518', 'pos': [8, 10]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0555', 'sentence_id': 1, 'h': {'id': 'Q2518', 'pos': [8, 10]}, 't': {'id': 'Q68743', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0641', 'sentence_id': 1, 'h': {'id': 'Q68743', 'pos': [0, 2]}, 't': {'id': 'Q2518', 'pos': [8, 10]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0641', 'sentence_id': 1, 'h': {'id': 'Q2518', 'pos': [8, 10]}, 't': {'id': 'Q68743', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0654', 'sentence_id': 1, 'h': {'id': 'Q68743', 'pos': [0, 2]}, 't': {'id': 'Q2518', 'pos': [8, 10]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010705.0654', 'sentence_id': 1, 'h': {'id': 'Q2518', 'pos': [8, 10]}, 't': {'id': 'Q68743', 'pos': [0, 2]}, 'relation': 'P26@end'}
