{'doc_id': 'APW_ENG_20010408.0056', 'sentence_id': 1, 'h': {'id': 'Q6768612', 'pos': [1, 3]}, 't': {'id': 'Q238593', 'pos': [12, 14]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010408.0058', 'sentence_id': 1, 'h': {'id': 'Q6768612', 'pos': [1, 3]}, 't': {'id': 'Q238593', 'pos': [12, 14]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010417.0009', 'sentence_id': 18, 'h': {'id': 'Q1993786', 'pos': [29, 31]}, 't': {'id': 'Q238593', 'pos': [0, 7]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010506.0166', 'sentence_id': 1, 'h': {'id': 'Q3574640', 'pos': [3, 5]}, 't': {'id': 'Q575370', 'pos': [10, 14]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010510.0114', 'sentence_id': 1, 'h': {'id': 'Q4665732', 'pos': [0, 3]}, 't': {'id': 'Q238593', 'pos': [11, 13]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010610.0031', 'sentence_id': 1, 'h': {'id': 'Q1316071', 'pos': [4, 6]}, 't': {'id': 'Q309095', 'pos': [0, 3]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010620.1467', 'sentence_id': 7, 'h': {'id': 'Q58590', 'pos': [19, 21]}, 't': {'id': 'Q2502166', 'pos': [11, 13]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010701.0119', 'sentence_id': 1, 'h': {'id': 'Q4665732', 'pos': [0, 3]}, 't': {'id': 'Q238593', 'pos': [10, 12]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010724.1387', 'sentence_id': 3, 'h': {'id': 'Q471669', 'pos': [23, 25]}, 't': {'id': 'Q238593', 'pos': [20, 22]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010724.1387', 'sentence_id': 3, 'h': {'id': 'Q471669', 'pos': [23, 25]}, 't': {'id': 'Q238593', 'pos': [20, 22]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0304', 'sentence_id': 1, 'h': {'id': 'Q483577', 'pos': [7, 8]}, 't': {'id': 'Q7156', 'pos': [0, 2]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0887', 'sentence_id': 10, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0887', 'sentence_id': 10, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0915', 'sentence_id': 11, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0915', 'sentence_id': 11, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0938', 'sentence_id': 11, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0938', 'sentence_id': 11, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0952', 'sentence_id': 11, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.0952', 'sentence_id': 11, 'h': {'id': 'Q311095', 'pos': [16, 18]}, 't': {'id': 'Q128446', 'pos': [0, 20]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010809.1282', 'sentence_id': 5, 'h': {'id': 'Q483577', 'pos': [6, 7]}, 't': {'id': 'Q7156', 'pos': [10, 12]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010810.0696', 'sentence_id': 1, 'h': {'id': 'Q365175', 'pos': [8, 10]}, 't': {'id': 'Q8723', 'pos': [13, 15]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010813.1304', 'sentence_id': 29, 'h': {'id': 'Q2383612', 'pos': [8, 10]}, 't': {'id': 'Q170703', 'pos': [5, 7]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010814.0145', 'sentence_id': 7, 'h': {'id': 'Q732955', 'pos': [8, 10]}, 't': {'id': 'Q630279', 'pos': [5, 7]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010814.0368', 'sentence_id': 32, 'h': {'id': 'Q203657', 'pos': [1, 4]}, 't': {'id': 'Q134241', 'pos': [0, 6]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010818.0320', 'sentence_id': 10, 'h': {'id': 'Q2360065', 'pos': [0, 2]}, 't': {'id': 'Q791164', 'pos': [11, 13]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_20010818.0320', 'sentence_id': 13, 'h': {'id': 'Q2535778', 'pos': [15, 17]}, 't': {'id': 'Q630279', 'pos': [29, 31]}, 'relation': 'P54@end'}
