{'doc_id': 'APW_ENG_20010728.0158', 'sentence_id': 21, 'h': {'id': 'Q863396', 'pos': [16, 18]}, 't': {'id': 'Q650840', 'pos': [11, 14]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19941222.0424', 'sentence_id': 3, 'h': {'id': 'Q380566', 'pos': [0, 2]}, 't': {'id': 'Q10315', 'pos': [2, 4]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19950108.0124', 'sentence_id': 13, 'h': {'id': 'Q215890', 'pos': [7, 8]}, 't': {'id': 'Q4512', 'pos': [14, 16]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19950108.0253', 'sentence_id': 3, 'h': {'id': 'Q380566', 'pos': [0, 2]}, 't': {'id': 'Q10315', 'pos': [2, 4]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19950108.0272', 'sentence_id': 3, 'h': {'id': 'Q380566', 'pos': [0, 2]}, 't': {'id': 'Q10315', 'pos': [2, 4]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19950109.0499', 'sentence_id': 3, 'h': {'id': 'Q672558', 'pos': [32, 34]}, 't': {'id': 'Q41420', 'pos': [37, 39]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19950110.0023', 'sentence_id': 3, 'h': {'id': 'Q672558', 'pos': [33, 35]}, 't': {'id': 'Q41420', 'pos': [38, 40]}, 'relation': 'P54@end'}
{'doc_id': 'APW_ENG_19950110.0068', 'sentence_id': 3, 'h': {'id': 'Q672558', 'pos': [33, 35]}, 't': {'id': 'Q41420', 'pos': [38, 40]}, 'relation': 'P54@end'}
{'doc_id': 'AFP_ENG_20021226.0184', 'sentence_id': 1, 'h': {'id': 'Q722437', 'pos': [3, 5]}, 't': {'id': 'Q642408', 'pos': [21, 23]}, 'relation': 'P54@end'}
{'doc_id': 'XIN_ENG_19991223.0292', 'sentence_id': 10, 'h': {'id': 'Q379349', 'pos': [10, 12]}, 't': {'id': 'Q8723', 'pos': [0, 14]}, 'relation': 'P54@end'}
{'doc_id': 'XIN_ENG_19991223.0292', 'sentence_id': 11, 'h': {'id': 'Q3393506', 'pos': [30, 32]}, 't': {'id': 'Q10300', 'pos': [33, 35]}, 'relation': 'P54@end'}
{'doc_id': 'XIN_ENG_19991223.0292', 'sentence_id': 11, 'h': {'id': 'Q3393506', 'pos': [30, 32]}, 't': {'id': 'Q10300', 'pos': [33, 35]}, 'relation': 'P54@end'}
