{'doc_id': 'APW_ENG_20010904.1111', 'sentence_id': 1, 'h': {'id': 'Q202765', 'pos': [2, 4]}, 't': {'id': 'Q6807424', 'pos': [6, 8]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010904.1111', 'sentence_id': 1, 'h': {'id': 'Q6807424', 'pos': [6, 8]}, 't': {'id': 'Q202765', 'pos': [2, 4]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19981118.0017', 'sentence_id': 79, 'h': {'id': 'Q185122', 'pos': [17, 19]}, 't': {'id': 'Q201608', 'pos': [14, 16]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19981122.0152', 'sentence_id': 32, 'h': {'id': 'Q185122', 'pos': [19, 21]}, 't': {'id': 'Q201608', 'pos': [14, 16]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19981124.0484', 'sentence_id': 18, 'h': {'id': 'Q185122', 'pos': [22, 24]}, 't': {'id': 'Q201608', 'pos': [17, 19]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19981130.0543', 'sentence_id': 4, 'h': {'id': 'Q185122', 'pos': [18, 20]}, 't': {'id': 'Q201608', 'pos': [15, 17]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990123.0046', 'sentence_id': 8, 'h': {'id': 'Q201608', 'pos': [23, 25]}, 't': {'id': 'Q185122', 'pos': [27, 29]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990218.0003', 'sentence_id': 26, 'h': {'id': 'Q201608', 'pos': [8, 10]}, 't': {'id': 'Q185122', 'pos': [36, 38]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990222.0447', 'sentence_id': 1, 'h': {'id': 'Q201608', 'pos': [30, 32]}, 't': {'id': 'Q185122', 'pos': [28, 30]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990306.0078', 'sentence_id': 162, 'h': {'id': 'Q201608', 'pos': [1, 3]}, 't': {'id': 'Q185122', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990306.0079', 'sentence_id': 162, 'h': {'id': 'Q201608', 'pos': [1, 3]}, 't': {'id': 'Q185122', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990308.0194', 'sentence_id': 38, 'h': {'id': 'Q2597050', 'pos': [6, 8]}, 't': {'id': 'Q22686', 'pos': [9, 11]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_19990308.0194', 'sentence_id': 38, 'h': {'id': 'Q22686', 'pos': [9, 11]}, 't': {'id': 'Q2597050', 'pos': [6, 8]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20010905.0150', 'sentence_id': 25, 'h': {'id': 'Q202765', 'pos': [4, 6]}, 't': {'id': 'Q6807424', 'pos': [9, 11]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20010905.0150', 'sentence_id': 25, 'h': {'id': 'Q6807424', 'pos': [9, 11]}, 't': {'id': 'Q202765', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20010905.0153', 'sentence_id': 25, 'h': {'id': 'Q202765', 'pos': [4, 6]}, 't': {'id': 'Q6807424', 'pos': [9, 11]}, 'relation': 'P26@end'}
{'doc_id': 'NYT_ENG_20010905.0153', 'sentence_id': 25, 'h': {'id': 'Q6807424', 'pos': [9, 11]}, 't': {'id': 'Q202765', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941201.0549', 'sentence_id': 14, 'h': {'id': 'Q48410', 'pos': [0, 2]}, 't': {'id': 'Q199801', 'pos': [3, 5]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941201.0549', 'sentence_id': 14, 'h': {'id': 'Q199801', 'pos': [3, 5]}, 't': {'id': 'Q48410', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941201.0602', 'sentence_id': 1, 'h': {'id': 'Q48410', 'pos': [2, 4]}, 't': {'id': 'Q199801', 'pos': [6, 8]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_19941201.0602', 'sentence_id': 1, 'h': {'id': 'Q199801', 'pos': [6, 8]}, 't': {'id': 'Q48410', 'pos': [2, 4]}, 'relation': 'P26@end'}
{'doc_id': 'AFP_ENG_20021007.0722', 'sentence_id': 1, 'h': {'id': 'Q160432', 'pos': [6, 8]}, 't': {'id': 'Q283703', 'pos': [9, 11]}, 'relation': 'P26@end'}
{'doc_id': 'AFP_ENG_20021007.0722', 'sentence_id': 1, 'h': {'id': 'Q283703', 'pos': [9, 11]}, 't': {'id': 'Q160432', 'pos': [6, 8]}, 'relation': 'P26@end'}
{'doc_id': 'AFP_ENG_19951103.0443', 'sentence_id': 1, 'h': {'id': 'Q2831', 'pos': [2, 4]}, 't': {'id': 'Q237324', 'pos': [7, 10]}, 'relation': 'P26@end'}
{'doc_id': 'AFP_ENG_19951105.0318', 'sentence_id': 1, 'h': {'id': 'Q2831', 'pos': [2, 4]}, 't': {'id': 'Q237324', 'pos': [6, 9]}, 'relation': 'P26@end'}
{'doc_id': 'LTW_ENG_19940606.0056', 'sentence_id': 8, 'h': {'id': 'Q182104', 'pos': [1, 3]}, 't': {'id': 'Q395205', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'LTW_ENG_19940613.0001', 'sentence_id': 18, 'h': {'id': 'Q182104', 'pos': [9, 11]}, 't': {'id': 'Q395205', 'pos': [12, 14]}, 'relation': 'P26@end'}
{'doc_id': 'LTW_ENG_19940613.0001', 'sentence_id': 47, 'h': {'id': 'Q182104', 'pos': [2, 4]}, 't': {'id': 'Q395205', 'pos': [4, 6]}, 'relation': 'P26@end'}
{'doc_id': 'LTW_ENG_19940614.0005', 'sentence_id': 25, 'h': {'id': 'Q182104', 'pos': [11, 13]}, 't': {'id': 'Q395205', 'pos': [17, 19]}, 'relation': 'P26@end'}
{'doc_id': 'LTW_ENG_19941110.0070', 'sentence_id': 26, 'h': {'id': 'Q48410', 'pos': [21, 23]}, 't': {'id': 'Q199801', 'pos': [27, 29]}, 'relation': 'P26@end'}
{'doc_id': 'LTW_ENG_19941110.0070', 'sentence_id': 26, 'h': {'id': 'Q199801', 'pos': [27, 29]}, 't': {'id': 'Q48410', 'pos': [21, 23]}, 'relation': 'P26@end'}
