{'doc_id': 'APW_ENG_20010412.0770', 'sentence_id': 1, 'h': {'id': 'Q315826', 'pos': [9, 11]}, 't': {'id': 'Q676094', 'pos': [12, 14]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010419.0822', 'sentence_id': 1, 'h': {'id': 'Q315826', 'pos': [12, 14]}, 't': {'id': 'Q676094', 'pos': [0, 2]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010420.0093', 'sentence_id': 2, 'h': {'id': 'Q315826', 'pos': [0, 2]}, 't': {'id': 'Q676094', 'pos': [12, 14]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010420.0099', 'sentence_id': 2, 'h': {'id': 'Q315826', 'pos': [0, 2]}, 't': {'id': 'Q676094', 'pos': [12, 14]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010615.0859', 'sentence_id': 3, 'h': {'id': 'Q991765', 'pos': [23, 25]}, 't': {'id': 'Q40064', 'pos': [27, 29]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010615.0859', 'sentence_id': 3, 'h': {'id': 'Q40064', 'pos': [27, 29]}, 't': {'id': 'Q991765', 'pos': [23, 25]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010710.0948', 'sentence_id': 2, 'h': {'id': 'Q315826', 'pos': [11, 13]}, 't': {'id': 'Q676094', 'pos': [3, 5]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010903.1189', 'sentence_id': 1, 'h': {'id': 'Q202765', 'pos': [2, 4]}, 't': {'id': 'Q6807424', 'pos': [6, 8]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010903.1189', 'sentence_id': 1, 'h': {'id': 'Q6807424', 'pos': [6, 8]}, 't': {'id': 'Q202765', 'pos': [2, 4]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010903.1332', 'sentence_id': 1, 'h': {'id': 'Q202765', 'pos': [2, 4]}, 't': {'id': 'Q6807424', 'pos': [6, 8]}, 'relation': 'P26@end'}
{'doc_id': 'APW_ENG_20010903.1332', 'sentence_id': 1, 'h': {'id': 'Q6807424', 'pos': [6, 8]}, 't': {'id': 'Q202765', 'pos': [2, 4]}, 'relation': 'P26@end'}
