{'doc_id': 'NYT_ENG_19990105.0001', 'sentence_id': 1, 'h': {'id': 'Q247543', 'pos': [21, 23]}, 't': {'id': 'Q309095', 'pos': [36, 40]}, 'relation': 'P54@start'}
{'doc_id': 'AFP_ENG_20021226.0184', 'sentence_id': 1, 'h': {'id': 'Q722437', 'pos': [3, 5]}, 't': {'id': 'Q642408', 'pos': [21, 23]}, 'relation': 'P54@start'}
{'doc_id': 'XIN_ENG_19991224.0143', 'sentence_id': 1, 'h': {'id': 'Q484909', 'pos': [4, 6]}, 't': {'id': 'Q631', 'pos': [11, 13]}, 'relation': 'P54@start'}
{'doc_id': 'XIN_ENG_19991225.0152', 'sentence_id': 1, 'h': {'id': 'Q484909', 'pos': [10, 12]}, 't': {'id': 'Q631', 'pos': [0, 2]}, 'relation': 'P54@start'}
{'doc_id': 'AFP_ENG_19951223.0136', 'sentence_id': 15, 'h': {'id': 'Q778104', 'pos': [32, 34]}, 't': {'id': 'Q631', 'pos': [0, 2]}, 'relation': 'P54@start'}
{'doc_id': 'AFP_ENG_19951223.0217', 'sentence_id': 15, 'h': {'id': 'Q778104', 'pos': [32, 34]}, 't': {'id': 'Q631', 'pos': [0, 2]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19980108.0388', 'sentence_id': 20, 'h': {'id': 'Q2598130', 'pos': [13, 15]}, 't': {'id': 'Q203573', 'pos': [0, 17]}, 'relation': 'P54@start'}
{'doc_id': 'XIN_ENG_19981225.0150', 'sentence_id': 1, 'h': {'id': 'Q57114', 'pos': [13, 15]}, 't': {'id': 'Q41420', 'pos': [2, 4]}, 'relation': 'P54@start'}
{'doc_id': 'XIN_ENG_19981227.0149', 'sentence_id': 1, 'h': {'id': 'Q57114', 'pos': [4, 6]}, 't': {'id': 'Q41420', 'pos': [19, 21]}, 'relation': 'P54@start'}
{'doc_id': 'XIN_ENG_19990108.0246', 'sentence_id': 1, 'h': {'id': 'Q567434', 'pos': [1, 3]}, 't': {'id': 'Q41420', 'pos': [7, 9]}, 'relation': 'P54@start'}
{'doc_id': 'APW_ENG_19981223.0981', 'sentence_id': 1, 'h': {'id': 'Q704840', 'pos': [3, 5]}, 't': {'id': 'Q207503', 'pos': [28, 30]}, 'relation': 'P54@start'}
